,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Height,Drafted
323,RB,Jackson State,216.0,4.84,29.5,15.0,112.0,7.15,4.41,5.92,0
324,QB,Texas State,229.0,4.91,34.0,,108.0,7.71,4.59,6.25,1
325,WR,Iowa,191.0,4.53,33.0,,130.0,7.09,4.18,6.25,0
326,DE,Texas-El Paso,278.0,4.94,29.5,27.0,106.0,7.2,4.47,6.17,1
327,OLB,Clemson,219.0,4.82,,24.0,104.0,,,5.92,1
328,S,Washington,210.0,4.55,,,,,,6.0,1
329,OLB,Florida State,238.0,4.65,,25.0,,,,6.0,1
330,RB,Kansas State,194.0,4.62,31.0,15.0,111.0,,,5.75,0
331,P,Troy,246.0,,,,,,,6.25,0
332,CB,Syracuse,192.0,4.44,39.5,14.0,121.0,6.78,3.9,5.83,1
333,WR,Grambling State,184.0,4.57,34.5,,115.0,,,6.17,1
334,S,Arizona State,211.0,4.46,,31.0,,,,6.0,1
335,OG,Colorado,293.0,5.11,33.5,20.0,109.0,7.4,4.3,6.5,0
336,TE,Virginia,255.0,4.76,33.0,22.0,106.0,7.12,4.19,6.33,1
337,OT,Michigan,310.0,5.37,27.0,25.0,99.0,8.27,4.67,6.42,1
338,DE,Ohio State,283.0,5.1,,,,,,6.25,1
339,P,Iowa,198.0,,,,,,,6.08,0
340,WR,East. Kentucky,201.0,4.47,30.5,,110.0,,,6.42,1
341,RB,Pittsburgh,235.0,4.56,,,,,,6.08,1
342,S,Memphis,206.0,4.56,40.0,22.0,126.0,7.14,4.2,6.17,1
343,CB,Baylor,204.0,4.53,37.5,,122.0,7.39,4.21,6.17,1
344,QB,Kansas State,227.0,4.85,29.5,,102.0,7.55,4.38,6.0,0
345,DE,Kansas State,270.0,4.83,34.5,25.0,110.0,7.32,4.28,6.33,1
346,ILB,Georgia,234.0,4.64,38.5,24.0,124.0,7.25,4.5,6.08,1
347,DT,Memphis,319.0,5.32,,17.0,98.0,8.07,4.71,6.08,1
348,RB,Wisconsin,207.0,4.38,39.5,13.0,130.0,,,5.75,1
349,WR,New Mexico,191.0,4.43,39.5,,122.0,6.78,4.08,5.92,1
350,S,Virginia Tech,217.0,4.6,,22.0,,,,5.83,1
351,FB,NW State (LA),255.0,4.97,33.5,32.0,108.0,7.81,4.38,5.83,0
